iter	RMSE
0	14.40953623
1	13.52068016
2	12.67961374
3	11.90407125
4	11.20679796
5	10.66490264
6	10.11786898
7	9.619750261
8	9.169499027
9	8.765672553
10	8.383390331
11	8.049183459
12	7.792189019
13	7.56660917
14	7.335322221
15	7.121512115
16	6.944598466
17	6.768422442
18	6.612359669
19	6.484394495
20	6.371580633
21	6.270847317
22	6.167285514
23	6.080817268
24	5.996375723
25	5.922486858
26	5.851477056
27	5.799386638
28	5.745536786
29	5.683051682
30	5.63143624
31	5.591698444
32	5.542948566
33	5.50363808
34	5.46563644
35	5.416903689
36	5.391625353
37	5.37210939
38	5.349202994
39	5.327847987
40	5.311024201
41	5.295001045
42	5.275237991
43	5.267264784
44	5.243337108
45	5.224632012
46	5.205576625
47	5.192608429
48	5.176080497
49	5.15312307
50	5.129127064
51	5.117793024
52	5.101122652
53	5.090390094
54	5.075902497
55	5.063101084
56	5.052364607
57	5.042137732
58	5.030250494
59	5.024836239
60	5.00275732
61	4.9930233
62	4.974629701
63	4.962052662
64	4.955583768
65	4.944017921
66	4.931731104
67	4.930560951
68	4.922131764
69	4.907145996
70	4.898439916
71	4.888995955
72	4.881368292
73	4.871495364
74	4.859959017
75	4.84444467
76	4.829495001
77	4.813958798
78	4.798336172
79	4.788760009
80	4.777485476
81	4.755097004
82	4.732963727
83	4.723908807
84	4.710522567
85	4.705562098
86	4.691569514
87	4.684511774
88	4.677339558
89	4.661545944
90	4.658080562
91	4.644217298
92	4.640405607
93	4.636471984
94	4.622433333
95	4.606847955
96	4.597925519
97	4.589658486
98	4.58807315
99	4.580562978
