iter	Passed	Remaining
0	0	94
1	1	88
2	2	82
3	3	78
4	4	76
5	4	73
6	5	72
7	6	71
8	6	70
9	7	69
10	8	69
11	9	68
12	10	67
13	10	66
14	11	65
15	12	64
16	12	63
17	13	62
18	14	62
19	15	62
20	16	60
21	16	60
22	17	59
23	18	58
24	19	57
25	19	55
26	20	55
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	29	44
40	30	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	36	39
48	37	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	41	33
55	41	32
56	42	32
57	43	31
58	44	30
59	44	29
60	45	29
61	46	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	59	14
80	60	14
81	61	13
82	61	12
83	62	11
84	63	11
85	64	10
86	65	9
87	65	8
88	66	8
89	67	7
90	68	6
91	69	6
92	69	5
93	70	4
94	71	3
95	72	3
96	72	2
97	73	1
98	74	0
99	74	0
